CIVILSERVANTS 
mario arturo acosta chaparro escapite
guillermo espinosa de benito
miguel nazar haro
teniente coronel mario arturo acosta chaparro
acosta chaparro
ulises acosta viquez
ruben figueroa figueroa
guillermo espinosa benito
coronel manuel mayoral garcia
general brigadier marcelino inurreta
manuel alatriste reynoso
luis de la barreda moreno
capitan luis de la barreda moreno
general renato vega amador
manuel bravo prieto
miguel aleman valdez
robert mcbride
luis echeverria alvarez
director federal de seguridad
agente gomez caballero
agente chaparro
dictor de la policia judicial del distrito federal
raymundo zamundio munoz
garbriel guarneros mendoza
romualdo j chazaro
agentes del servicio secreto
vicente medina estrada
antonio raya gallegos
ramiro bautista
julio hirschfeld almada
agentes de la direccion federal de seguridad
ramiro bautista rosas
sergio diaz jimenez
servicio secreto
dante pugliese zorrilla
lorenzo cardenas barajas
50 batallon de infanteria
ejercito mexicano
julio sanchez vargas
fuerza aerea mexicana
terrance george leonhardy
raymundo abarca alarcon
manuel m moreno
israel nogueda otero
director de la carcel municipal de acapulco
cuerpo de guardias presidencial
ejercito meixcano
antonio estrada garcia
ruben arias aguila
carlos acevedo kofahl
manauel bravo prieto
isaac tapia segura
carlos u acosta
isidoro asus catalan
fernando gutierrez barrios
francisco nunez chavez
dante pugleisse zorrilla
jose rojo coronado
carlos guzman ramirez
felix ayala peguero
manuel guizer camerlinga
raul caballero aburto
victor manuel equierdo robledo
alejano luque ferergrino
ruben figueroa
estado de puebla
jesus ramirez rosales
alfredo mendiola
jesus ramirez morales
alfredo mendiola gonzalez
h junta local de conciliacion y arbitraje
alfredo toxqui
rafael hernandez ochoa
arturo durazo moreno
jose lopez portillo
jesus reyes heroles
humberto lira mora
no legible
rosendo valero munoz
arturo calvillo roux
ejercito nacional
salomon gonzalez blanco
mario sanchez galan gomez
ramon roiguez garcia
cuauhtemoc ortiz gonzalez
marcos garcia perez
ricardo gausin
luis arturo gonzalez sanchez
julian bulnes solorzano
guillermo lira murrieta
wilfrido castro contreras
jose luis valdemar lima y gabriel guarneros mendoza
jose lopez vazquez
guillermo aguilar toral
cesar alvarez vazquez
peo garcia samper
elias sanches martinez
aureliano loera ramirez
jorge s avila avendano
javier mancera fuentes
teniente o capitan piloto aviador
carlos nava ocampo
juez primero de distrito del df en materia penal
juez penal
rodolfo echeverria ruiz
cesar lechuga rojas
mario alberto navarro
martha herrerias de navarro
ignacio calderon alvarez
rene gonzalez de la vega
procurador general de la republica
raul diaz infante
clicerio munoz macias
alfonso corona c
eduardo rivera melo
felix galvan lopez
javier garcia paniagua
carlos tarras quesnel
samuel gonzalez celedon
victor manuel izquierdo robledo
renato ojeda castaneda
coronel ramon mota sanchez
rafael carreto
felipe roa gonzalez
raul gonzalez mejia
alfonso ramirez ferreira
efren contreras vallejo
hector ruiz aburto
ezequiel hernandez gonzalez
gabriel sosa cuevas
roberto leyva aguilar
comandante gabriel sosa cuevas
ernesto mijares olvera
ruben navarrete
carlos martinez novoa
armando gaytan soto
pablo g ramirez santoyo
antonio calixto de la cruz
jose aureliano maldonado
guillermo pera hernandez
roigo arias galindo
joaquin iturralde arguelles
edmundo gurza villareal
juventino castro prado
cesar esquinca munoz
francisco pineda
guillermo fragoso martinez
lauro gonzalez aguilar
emilio gomez sanchez
rosendo bello valdez
esar esquinca munoz
ernesto greaves morales
alejano cortes martinez
humberto milona sosa
manuel islas rueda
margarita lopez portillo y pacheco
alfonso moreno sago
armando salcedo leal
comandante de la patrulla geminis
director general de seguridad
peo avalos velazquez
cardoso
juvenal leon de la torre
juan r islas islas
erasmo coss galindo
47o batallon de infanteria del ejercito mexicano
francisco bravo salgado
raul cota sanchez
jose samael avila avendano
francisco alcala perez
salvador santamaria
ayax segura garrido
jefe de la policia judicial ganadera y forestal de san luis potosi
emeterio lopez alonso
guadalupe renteria lara
raul luna vazquez
jesus avila femat
luis jorge rosales feimbert
antonio scherenberg santos
licenciado cabrera
sergio padilla valdes
benito correa almaraz
alejano valenzuela chavez
arturo valles mendez
enrique ramirez cortinas
secretario de la defesa nacional
juan arevalo gardoqui
blas vergara aguilar
rosalio wences reza
miguel de la maid hurtado
guillermo espinoza de benito
mario moya palencia
lazaro rubio felix
esteban guzman salgado
23 batallon del ejercito nacional
genaro coronel
jose vallejo
jose luis camacho aceves
general augusto pinochet
jesus mendoza delgado
terrence g leonhardy
servicio de inteligencia
terrance goerge leonhardy
rafael roiguez peralta
jose vallejo beltran
jose chapula rolon
josefina cardenas perez
enrique hoeck cossio
gh decker
jc lambert
manuel h de la rosa
agustin arriaga rivera
diaz ordaz
luis echeverria
jose alvarez cisneros
jesus medina estrada
carlos msuarez y suarez
carlos manuel suarez y suarez
angel posada gil
hector castillo monroy
jose pierre trosino
fernando lozano perales
eugenio mella tamayo
juan jose pierre trosino
baraquiel ortiz legaria
seguro social
oficina de paones de la tesoreria
domingo kuri constantino
enrique francisco sepulveda
guillermo mejia guerrero
rosalino ramirez faz
